
-------------------------------------------------------------------------

   Type    File   Event 

-------------------------------------------------------------------------

      3        0       2
      0        0       4
      3        0      10
      2        0      12
      0        0      26
      0        0      28
      0        0      30
      5        0      31
      1        0      34
      0        0      36
      2        0      46
      4        0      46
      0        0      50
      1        1       1
      5        1       1
      1        1       2
      0        1      10
      1        1      15
      5        1      15
      2        1      22
      2        1      26
      4        1      26
      0        1      27
      0        1      28
      2        1      29
      4        1      29
      5        1      30
      1        1      37
      5        1      37
      0        1      41
      0        1      42
      5        1      45
     3p        1      48
      3        1      48
      2        1      49
      2        2       1
      0        2       2
      8        2       5
      2        2       6
      4        2       6
      2        2      13
      0        2      16
      0        2      17
      2        2      21
      7        2      21
      0        2      31
      5        2      41
      7        2      41
      2        2      49
      0        3       9
      0        3      13
      0        3      14
      1        3      17
      5        3      17
      0        3      22
      2        3      24
      4        3      24
      0        3      31
      2        3      34
      4        3      34
      3        3      39
      2        3      41
      0        3      42
      1        3      47
      5        3      47
      0        3      48
      2        3      49
      4        3      49
      2        4       2
      4        4       2
      2        4       3
      2        4       4
      2        4       5
      2        4      11
      1        4      12
      2        4      14
      4        4      14
      5        4      19
      5        4      28
      4        4      30
      2        4      33
      0        4      34
      0        4      40
      0        4      42
      0        4      48
      2        4      50
      0        5       1
      2        5       2
      2        5       4
      0        5      20
      2        5      21
      4        5      21
      2        5      26
      2        5      32
      4        5      32
      2        5      33
      1        5      36
      5        5      36
      6        5      37
      1        6       1
      2        6       3
      7        6       3
      0        6       4
      1        6       5
      5        6       5
      0        6       6
      1        6      11
      5        6      11
      1        6      14
      0        6      19
      1        6      21
      4        6      22
      6        6      22
      2        6      27
      4        6      27
      1        6      29
      5        6      32
      5        6      37
      0        6      38
      1        6      39
      5        6      39
      1        6      43
      2        6      44
      1        6      47
      3        6      50
      2        7       1
      1        7       2
      8        7       2
      5        7       7
      0        7       9
      1        7      11
      1        7      26
      8        7      26
      4        7      29
      6        7      29
      0        7      30
      1        7      32
      2        7      35
      4        7      35
      2        7      37
      0        7      50
      2        8       1
      4        8       1
      0        8       4
      2        8       5
      2        8       6
      4        8       8
      8        8       8
      0        8      14
      0        8      19
      2        8      24
      0        8      25
      2        8      27
      4        8      27
      2        8      30
      2        8      38
      4        8      38
      2        8      41
      0        8      44
      1        9       1
      2        9       2
      4        9       2
      2        9       5
      4        9       5
      0        9       8
      0        9      11
      2        9      17
      4        9      17
      0        9      18
      2        9      22
      4        9      22
      0        9      25
      0        9      33
      0        9      36
      2        9      39
      2        9      42
      4        9      42
      0        9      44
      9        9      46
      3        9      46
      5        9      49
      2       10       5
      4       10       5
      3       10       7
      2       10       8
      2       10      12
      2       10      14
      4       10      14
      1       10      17
      0       10      18
      2       10      23
      4       10      23
      9       10      26
      3       10      26
      0       10      29
      0       10      32
      2       10      39
      4       10      39
      0       10      45
      0       10      49
      0       11       5
      0       11       9
      1       11      15
      0       11      17
      0       11      18
      2       11      20
      2       11      22
      2       11      24
      0       11      26
      1       11      28
      8       11      28
      1       11      32
      3       11      33
      2       11      37
      4       11      37
      6       11      44
      0       11      45
      4       11      47
      6       11      47
      1       11      48
      0       11      49
      5       11      50
      3       12       3
      2       12       5
